Site,Taxon,lat,lon,comment,ele,time
FIH23,Euphrasia foulaensis,59.55042601,-1.61206604,,83.407463,2018-08-11T12:48:26Z
FIH24,Euphrasia micrantha,59.54969301,-1.611841992,,89.67942,2018-08-11T12:54:44Z
FIH25,Euphrasia foulaensis,59.54988596,-1.615419975,,68.585815,2018-08-11T13:01:30Z
FIH26,Euphrasia foulaensis x marshallii,59.54956502,-1.61885798,,65.073677,2018-08-11T13:13:54Z
FIH26,Euphrasia foulaensis,59.54956502,-1.61885798,,65.073677,2018-08-11T13:13:54Z
FIH27,None,59.54780096,-1.619039029,,96.799774,2018-08-11T13:28:40Z
FIH28,Euphrasia micrantha,59.54708397,-1.616903991,,98.061295,2018-08-11T13:38:04Z
FIH28,Euphrasia micrantha x scottica,59.54708397,-1.616903991,,98.061295,2018-08-11T13:38:04Z
FIH29,None,59.54542897,-1.615557019,,83.167191,2018-08-11T14:05:46Z
FIH30,None,59.54367497,-1.615115041,,75.980606,2018-08-11T14:18:07Z
FIH31,None,59.54216598,-1.616824027,,88.454102,2018-08-11T14:31:33Z
FIH32,None,59.54045297,-1.617760034,,79.442223,2018-08-11T14:47:45Z
FIH33,Euphrasia micrantha x scottica,59.53854399,-1.616439968,,44.044804,2018-08-11T15:00:29Z
FIH34,None,59.53705,-1.614474999,,48.671646,2018-08-11T15:13:49Z
FIH35,None,59.53787503,-1.607727986,,42.417065,2018-08-11T15:45:26Z
FIH36,Euphrasia micrantha x scottica,59.535987,-1.617286038,,50.15398,2018-08-11T16:18:06Z
FIH37,Euphrasia scottica 'Shetland',59.53574804,-1.620196989,,37.750656,2018-08-11T16:38:58Z
FIH38,None,59.53468404,-1.623028982,,64.648712,2018-08-11T16:56:16Z
A1,Euphrasia foulaensis,59.551979,-1.609571,,,
A1,Euphrasia foulaensis x marshallii,59.551979,-1.609571,,,
A2,Euphrasia foulaensis,59.55091,-1.61036,,,
A2,Euphrasia confusa x foulaensis,59.55091,-1.61036,,,
A3,Euphrasia micrantha,59.549841,-1.609171,,,
A4,Euphrasia confusa x foulaensis,59.549586,-1.609384,,,
A4,Euphrasia micrantha,59.549586,-1.609384,,,
A5,Euphrasia confusa,59.54858,-1.61063,,,
A6,Euphrasia confusa,59.548464,-1.613163,,,
A6,Euphrasia micrantha,59.548464,-1.613163,,,
A7,Euphrasia micrantha,59.5482,-1.615636,,,
A8,Euphrasia confusa,59.547157,-1.614534,,,
A9,Euphrasia micrantha,59.54782,-1.61432,,,
A10,Euphrasia confusa x foulaensis,59.54639,-1.6117,,,
A11,Euphrasia micrantha ,59.54505,-1.6123,E. micrantha hybrid,,
A12,Euphrasia micrantha,59.54374,-1.61285,,,
A13,None,59.54236,-1.61354,,,
A14,Euphrasia micrantha,59.54092,-1.6138,,,
A14,Euphrasia micrantha x scottica,59.54092,-1.6138,Uncertain. If no other scottica ID'd in the area then remove.,,
A15,Euphrasia confusa x micrantha,59.53967,-1.61403,,,
A15,Euphrasia micrantha x scottica,59.53967,-1.61403,,,
A18,Euphrasia confusa,59.53679,-1.60959,,,
A18,Euphrasia micrantha,59.53679,-1.60959,,,
A18,Euphrasia confusa x micrantha,59.53679,-1.60959,,,
A19,None,59.53624,-1.60838,,,
A20,Euphrasia foulaensis,59.53598,-1.60715,Possible E. foulaensis x micrantha in sympatry,,
A21,None,59.53723,-1.60441,,,
A22,None,59.54071,-1.59955,,,
A23,Euphrasia foulaensis,59.53979,-1.59929,,,
A24,None,59.53894,-1.60031,,,
A25,Euphrasia foulaensis,59.53762,-1.60109,,,
A25,Euphrasia foulaensis x marshallii,59.53762,-1.60109,,,
A26,Euphrasia foulaensis x marshallii,59.53625,-1.6014,,,
A26,Euphrasia foulaensis,59.53625,-1.6014,,,
A27,Euphrasia foulaensis x marshallii,59.53453,-1.60154,,,
A27,Euphrasia foulaensis,59.53453,-1.60154,,,
A28,None,59.53325,-1.60084,,,
A29,None,59.53369,-1.60191,,,
A30,Euphrasia foulaensis,59.53441,-1.60266,,,
A30,Euphrasia foulaensis x marshallii,59.53441,-1.60266,,,
FIMXB001,Euphrasia foulaensis,59.552012,-1.609441,,,
FIMXB001,Euphrasia foulaensis x marshallii,59.552012,-1.609441,,,
FIMXB002,Euphrasia foulaensis,59.550766,-1.608886,,,
FIMXB003,Euphrasia foulaensis,59.550181,-1.60686,,,
FIMXB004,Euphrasia foulaensis,59.547831,-1.606206,,,
FIMXB004,Euphrasia foulaensis x marshallii,59.547831,-1.606206,,,
FIMXB005,None,59.547639,-1.61053,,,
FIMXB006,None,59.546343,-1.610715,,,
FIMXB007,None,59.545377,-1.60975,,,
FIMXB008,None,59.543724,-1.611303,,,
FIMXB009,None,59.541499,-1.612454,,,
FIMXB010,Euphrasia foulaensis,59.53984,-1.611663,,,
M001,Euphrasia foulaensis,59.550837,-1.609411,,,
M002,Euphrasia foulaensis,59.549977,-1.607546,,,
M002,Euphrasia micrantha,59.549977,-1.607546,,,
M003,None,59.549099,-1.608334,,,
M004,Euphrasia foulaensis,59.54787,-1.611008,,,
M005,None,59.54641,-1.612285,,,
M006,Euphrasia micrantha,59.545668,-1.612003,,,
M007,None,59.544033,-1.611817,,,
M008,None,59.5416,-1.613034,,,
M009,Euphrasia micrantha x scottica,59.539601,-1.613175,,,
M009,Euphrasia micrantha,59.539601,-1.613175,,,
M011,Euphrasia foulaensis,59.535718,-1.609566,,,
M011,Euphrasia micrantha,59.535718,-1.609566,,,
M012,Euphrasia foulaensis,59.535021,-1.6128,,,
M013,Euphrasia confusa,59.53401,-1.614738,With heslop-harisonii characters,,
